State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.996511419180991	8.64312844660383E-4	1.8818068878955357E-5	4.178800555392954E-5	0.0024328006159405743	0.0	1.1823951211080078E-5	1.0768841911258702E-5	3.199238294850684E-5	0.0	0.0	1.0965420527337302E-5	6.196915246411147E-5	0.0	3.3415349131261364E-6
2	0.06906929476952066	0.9036099234156869	0.006256367032643416	0.006134067472161163	0.007569175844189761	0.0040861614955273245	6.096959044315697E-4	4.491123537584998E-5	8.402541522374257E-4	1.8906413350399395E-5	0.0	0.0	7.575879962420017E-4	1.943147557097712E-4	8.093395129237441E-4
3	9.066389940666501E-5	4.6271640173122143E-4	0.9502123558301446	0.038672048286486606	0.0	0.0	1.4510617081491003E-5	4.253355001401856E-5	0.0	0.0	0.0	8.390920293206138E-4	0.002651146593862817	0.0015784820158924974	0.00543645077605931
4	6.094797117847725E-5	1.729512948790021E-4	0.011253147249096278	0.9557190967942082	0.0020392075344528235	0.0	0.0	0.0023577897506677522	3.455877717535164E-4	4.5111784605019974E-5	7.171929336174559E-5	8.552859934169561E-4	0.01782145677206918	2.6151461600971813E-4	0.008996183174301252
5	6.38580050822186E-4	1.9165727597719332E-5	0.0	2.8216585739202735E-4	0.9840335395994309	0.004459750646130551	9.866134586578123E-5	0.0060908950049335915	1.263514431882099E-4	0.0	2.173225425546069E-6	1.7888055011299197E-4	0.004069836549100673	0.0	0.0
6	2.0140701325615245E-5	1.6259884487539316E-4	7.65044047868343E-6	0.0	0.045866543399659926	0.939305690701912	0.008619128611479539	0.00475940012566972	5.569852881420815E-4	0.0	0.0	0.0	6.899074197108687E-4	0.0	1.1954466746238428E-5
7	2.79960032649683E-4	9.924117816954035E-5	1.0829370321802687E-5	0.0	0.008120366803754733	0.07218074031058401	0.8985878635022365	0.0030397451681933325	0.016819856919471476	0.0	0.0	0.0	8.50836739723939E-4	1.0559974895003992E-5	0.0
8	1.1026745049501838E-4	7.077538076639966E-5	8.260591921596012E-5	0.017279755446737013	0.29713188259215634	0.02276372612054655	0.0020127916018832397	0.5805507960504053	0.05111751822043312	0.008217630928330206	0.001159472237312037	0.003842066966592148	0.015457620204717913	8.90668954747227E-6	1.941841908614591E-4
9	0.0011795821880102894	2.561742540849055E-4	0.0	0.005095175590581194	0.01648676842317069	0.005320530924267891	0.02467586711667944	0.13102992269938726	0.7094275461546155	0.06353991033856284	0.005422718576761797	8.169129290961414E-4	0.034442814434648486	8.632036513433107E-4	0.0014428727187903033
10	2.261131736979934E-5	3.581338356986567E-5	0.0	9.006726640456091E-4	0.0	0.0	0.0	0.01740666953167077	0.05334450981626287	0.8461694098104015	0.010704325757414205	0.0	0.0011760897765227885	0.06696843134502499	0.003271466597717735
11	1.0270212656253182E-5	7.477739495095487E-6	0.0	0.0012548107041306183	1.8505069550779936E-4	0.0	0.0	0.0028369820417090516	0.005185476684130679	0.010430618039148241	0.7387517232812867	0.1980513035351524	0.010107109975687591	0.03317917709109555	0.0
12	1.3940875329945845E-4	0.0	0.002514127858570848	0.008949547655139924	0.012576308256374546	0.0	0.0	0.004971628094121197	4.800065578721538E-4	0.0	0.11403404631587638	0.6089438624311913	0.2395023117800421	0.007706257862053391	1.8249443545860554E-4
13	5.849011936915244E-4	8.157441433355461E-5	0.004301485462136195	0.0901727233019615	0.1375109078952822	0.0024621413822284474	2.565519637919945E-4	0.011194949433069418	0.00929041060627488	6.159687289110103E-4	0.0024964728994122834	0.11954762526389615	0.6154558497102981	0.0045002591843864605	0.0015281785603261737
14	0.0	0.0	0.004824520103039407	0.0026005686234829148	0.0	0.0	0.0	7.330495452427137E-5	4.049813008514121E-4	0.04264744868228774	0.019001251157270825	0.008276069579174972	0.009345556250566947	0.7831249357492882	0.12970136359951326
15	4.039011778232791E-5	5.96692652519235E-5	0.004510756263800313	0.02438822533587129	0.0	1.949657095332618E-5	1.5081077028785543E-5	1.3550900483062976E-5	1.61831232749171E-4	4.704009886369234E-4	0.0	0.0	9.601726993764157E-4	0.03298611177511956	0.936374313772947
