15	15	E	-1.1561375085561074E7	169
transitionprobs	11	2	7.477739495095487E-6
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0012548107041306183
transitionprobs	11	5	1.8505069550779936E-4
transitionprobs	11	6	0.0
transitionprobs	11	7	0.0
transitionprobs	11	8	0.0028369820417090516
transitionprobs	11	9	0.005185476684130679
transitionprobs	11	10	0.010430618039148241
transitionprobs	11	11	0.7387517232812867
transitionprobs	11	12	0.1980513035351524
transitionprobs	11	13	0.010107109975687591
transitionprobs	11	14	0.03317917709109555
transitionprobs	11	15	0.0
transitionprobs	12	1	1.3940875329945845E-4
transitionprobs	12	2	0.0
transitionprobs	12	3	0.002514127858570848
transitionprobs	12	4	0.008949547655139924
transitionprobs	12	5	0.012576308256374546
transitionprobs	12	6	0.0
transitionprobs	12	7	0.0
transitionprobs	12	8	0.004971628094121197
transitionprobs	12	9	4.800065578721538E-4
transitionprobs	12	10	0.0
transitionprobs	12	11	0.11403404631587638
transitionprobs	12	12	0.6089438624311913
transitionprobs	12	13	0.2395023117800421
transitionprobs	12	14	0.007706257862053391
transitionprobs	12	15	1.8249443545860554E-4
transitionprobs	13	1	5.849011936915244E-4
transitionprobs	13	2	8.157441433355461E-5
transitionprobs	13	3	0.004301485462136195
transitionprobs	13	4	0.0901727233019615
transitionprobs	13	5	0.1375109078952822
transitionprobs	13	6	0.0024621413822284474
transitionprobs	13	7	2.565519637919945E-4
transitionprobs	13	8	0.011194949433069418
transitionprobs	13	9	0.00929041060627488
transitionprobs	13	10	6.159687289110103E-4
transitionprobs	13	11	0.0024964728994122834
transitionprobs	13	12	0.11954762526389615
transitionprobs	13	13	0.6154558497102981
transitionprobs	13	14	0.0045002591843864605
transitionprobs	13	15	0.0015281785603261737
transitionprobs	14	1	0.0
transitionprobs	14	2	0.0
transitionprobs	14	3	0.004824520103039407
transitionprobs	14	4	0.0026005686234829148
transitionprobs	14	5	0.0
transitionprobs	14	6	0.0
transitionprobs	14	7	0.0
transitionprobs	14	8	7.330495452427137E-5
transitionprobs	14	9	4.049813008514121E-4
transitionprobs	14	10	0.04264744868228774
